#Scan#,inchi_combined,inchi_key,inchi_key1,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
2568,"InChI=1S/C35H36N4O5/c1-8-19-15(3)22-12-24-17(5)21(10-11-28(40)41)32(38-24)30-31(35(43)44-7)34(42)29-18(6)25(39-33(29)30)14-27-20(9-2)16(4)23(37-27)13-26(19)36-22/h8,12-14,17,21,31,36,39H,1,9-11H2,2-7H3,(H,40,41)/b22-12-,23-13-,24-12-,25-14-,26-13-,27-14-,32-30-/t17-,21-,31+/m0/s1",NSFSLUUZQIAOOX-QEWKCGBTSA-N,NSFSLUUZQIAOOX-QEWKCGBTSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Chlorins,Chlorins,NA,NA,NA,NA
2631,"InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/b5-3+,8-4-/t9-,10+,11-,13+/m1/s1",VZFRNCSOCOPNDB-AOKDLOFSSA-N,VZFRNCSOCOPNDB-AOKDLOFSSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Kainoids,NA,NA,NA
2713,"InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)",HCZHHEIFKROPDY-UHFFFAOYSA-N,HCZHHEIFKROPDY-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Quinoline carboxylic acids,NA,NA,NA,NA
2727,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",QIVBCDIJIAJPQS-UHFFFAOYSA-N,QIVBCDIJIAJPQS-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,NA,NA,NA,NA
2760,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
2791,"InChI=1S/C22H30INO4S/c1-22(2)15-13-19(22)18(7-5-3-4-6-8-21(25)26)20(14-15)24-29(27,28)17-11-9-16(23)10-12-17/h3,5,9-12,15,18-20,24H,4,6-8,13-14H2,1-2H3,(H,25,26)/b5-3-/t15-,18+,19+,20+/m1/s1",SZNMERGTFJHNSM-JAWYFFTGSA-N,SZNMERGTFJHNSM-JAWYFFTGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,NA,NA,NA,NA
2817,"InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/b5-3+,8-4-/t9-,10+,11-,13+/m1/s1",VZFRNCSOCOPNDB-AOKDLOFSSA-N,VZFRNCSOCOPNDB-AOKDLOFSSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Kainoids,NA,NA,NA
2873,"InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-",JAZBEHYOTPTENJ-JLNKQSITSA-N,JAZBEHYOTPTENJ-JLNKQSITSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3072,"InChI=1S/C22H30O6/c1-10-6-15-14(17(10)25)7-13(9-23)8-16-18-20(4,5)22(18,28-12(3)24)19(26)11(2)21(15,16)27/h6,8,11,14-16,18-19,23,26-27H,7,9H2,1-5H3",WZYGIALDVOKLLL-UHFFFAOYSA-N,WZYGIALDVOKLLL-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Tigliane and ingenane diterpenoids,NA,NA,NA,NA
3431,"InChI=1S/C25H43NO18/c1-7-13(26-9-2-8(3-27)14(33)18(37)15(9)34)17(36)20(39)24(41-7)44-23-12(6-30)42-25(21(40)19(23)38)43-22(11(32)5-29)16(35)10(31)4-28/h2,4,7,9-27,29-40H,3,5-6H2,1H3",CEMXHAPUFJOOSV-UHFFFAOYSA-N,CEMXHAPUFJOOSV-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides,Aminoglycosides,Aminocyclitol glycosides,NA,NA
3529,"InChI=1S/C11H21NO4/c1-8(2)11(15)16-9(6-10(13)14)7-12(3,4)5/h8-9H,6-7H2,1-5H3/t9-/m1/s1",LRCNOZRCYBNMEP-SECBINFHSA-N,LRCNOZRCYBNMEP-SECBINFHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
3532,"InChI=1S/C12H16O5/c1-3-4-8-7(2)11(12(15)16)9(17-8)5-6-10(13)14/h3-6H2,1-2H3,(H,13,14)(H,15,16)",WMCQWXZMVIETAO-UHFFFAOYSA-N,WMCQWXZMVIETAO-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Heterocyclic fatty acids,Furanoid fatty acids,NA,NA,NA
3535,"InChI=1S/C14H20N2O3/c1-9(2)12(14(18)19)16-13(17)11(15)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)/t11-,12-/m0/s1",IEHDJWSAXBGJIP-RYUDHWBXSA-N,IEHDJWSAXBGJIP-RYUDHWBXSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3614,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",UYTPUPDQBNUYGX-UHFFFAOYSA-N,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Purines and purine derivatives,NA,NA,NA,NA
3615,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",UYTPUPDQBNUYGX-UHFFFAOYSA-N,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Purines and purine derivatives,NA,NA,NA,NA
3619,"InChI=1S/C12H15NO3/c1-8-3-9(2)5-10(4-8)15-7-11-6-13-12(14)16-11/h3-5,11H,6-7H2,1-2H3,(H,13,14)",IMWZZHHPURKASS-UHFFFAOYSA-N,IMWZZHHPURKASS-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Phenol ethers,NA,Phenol ethers,NA,NA,NA,NA
3620,"InChI=1S/C12H15NO3/c1-8-3-9(2)5-10(4-8)15-7-11-6-13-12(14)16-11/h3-5,11H,6-7H2,1-2H3,(H,13,14)",IMWZZHHPURKASS-UHFFFAOYSA-N,IMWZZHHPURKASS-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Phenol ethers,NA,Phenol ethers,NA,NA,NA,NA
3630,"InChI=1S/C11H12O2/c1-8-3-4-10(9(2)7-8)5-6-11(12)13/h3-7H,1-2H3,(H,12,13)/b6-5+",UFSZMHHSCOXWPC-AATRIKPKSA-N,UFSZMHHSCOXWPC-AATRIKPKSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,NA,NA,NA,NA
3640,"InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3",IMKHDCBNRDRUEB-UHFFFAOYSA-N,IMKHDCBNRDRUEB-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzofurans,NA,Benzofurans,NA,NA,NA,NA
3648,"InChI=1S/C15H19NO2/c1-3-4-7-10-16-11-13(15(17)18-2)12-8-5-6-9-14(12)16/h5-6,8-9,11H,3-4,7,10H2,1-2H3",FMSUKWLGFFSMTP-UHFFFAOYSA-N,FMSUKWLGFFSMTP-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,NA,NA,NA,NA
3667,"InChI=1S/C9H18N2O3/c1-5(2)4-7(9(13)14)11-8(12)6(3)10/h5-7H,4,10H2,1-3H3,(H,11,12)(H,13,14)/t6-,7-/m0/s1",RDIKFPRVLJLMER-BQBZGAKWSA-N,RDIKFPRVLJLMER-BQBZGAKWSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,NA,NA,NA,NA
3686,"InChI=1S/C16H26O3/c1-2-3-4-5-6-9-12-15(17)13-10-7-8-11-14-16(18)19/h6-10,13,15,17H,2-5,11-12,14H2,1H3,(H,18,19)/b8-7-,9-6-,13-10+/t15-/m0/s1",KBOVKDIBOBQLRS-ONCCEEIJSA-N,KBOVKDIBOBQLRS-ONCCEEIJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3691,"InChI=1S/C15H20O2/c1-9-5-4-6-15(3)8-13-11(7-12(9)15)10(2)14(16)17-13/h11-13H,1-2,4-8H2,3H3/t11?,12?,13?,15-/m1/s1",CVUANYCQTOGILD-CDKPOMLUSA-N,CVUANYCQTOGILD-CDKPOMLUSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Sesquiterpene lactones,"Eudesmanolides, secoeudesmanolides, and derivatives",NA,NA,NA
3699,"InChI=1S/C9H18N2O4/c1-5(2)3-7(9(14)15)11-8(13)6(10)4-12/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)/t6-,7-/m0/s1",NFDYGNFETJVMSE-BQBZGAKWSA-N,NFDYGNFETJVMSE-BQBZGAKWSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3703,"InChI=1S/C8H16N2O3S/c1-4(2)6(8(12)13)10-7(11)5(9)3-14/h4-6,14H,3,9H2,1-2H3,(H,10,11)(H,12,13)/t5-,6-/m0/s1",OELDIVRKHTYFNG-WDSKDSINSA-N,OELDIVRKHTYFNG-WDSKDSINSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3721,"InChI=1S/C15H22N2O3/c1-3-10(2)13(16)14(18)17-12(15(19)20)9-11-7-5-4-6-8-11/h4-8,10,12-13H,3,9,16H2,1-2H3,(H,17,18)(H,19,20)/t10-,12-,13+/m0/s1",WMDZARSFSMZOQO-WCFLWFBJSA-N,WMDZARSFSMZOQO-WCFLWFBJSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3727,"InChI=1S/C22H30INO4S/c1-22(2)15-13-19(22)18(7-5-3-4-6-8-21(25)26)20(14-15)24-29(27,28)17-11-9-16(23)10-12-17/h3,5,9-12,15,18-20,24H,4,6-8,13-14H2,1-2H3,(H,25,26)/b5-3-/t15-,18+,19+,20+/m1/s1",SZNMERGTFJHNSM-JAWYFFTGSA-N,SZNMERGTFJHNSM-JAWYFFTGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,NA,NA,NA,NA
3728,"InChI=1S/C22H30INO4S/c1-22(2)15-13-19(22)18(7-5-3-4-6-8-21(25)26)20(14-15)24-29(27,28)17-11-9-16(23)10-12-17/h3,5,9-12,15,18-20,24H,4,6-8,13-14H2,1-2H3,(H,25,26)/b5-3-/t15-,18+,19+,20+/m1/s1",SZNMERGTFJHNSM-JAWYFFTGSA-N,SZNMERGTFJHNSM-JAWYFFTGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,NA,NA,NA,NA
3729,"InChI=1S/C11H21NO4/c1-8(2)11(15)16-9(6-10(13)14)7-12(3,4)5/h8-9H,6-7H2,1-5H3/t9-/m1/s1",LRCNOZRCYBNMEP-SECBINFHSA-N,LRCNOZRCYBNMEP-SECBINFHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
3734,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3735,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3737,"InChI=1S/C12H16N2O3/c1-8(13)11(15)14-10(12(16)17)7-9-5-3-2-4-6-9/h2-6,8,10H,7,13H2,1H3,(H,14,15)(H,16,17)/t8-,10+/m0/s1",OMNVYXHOSHNURL-WCBMZHEXSA-N,OMNVYXHOSHNURL-WCBMZHEXSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,NA,NA,NA,NA
3786,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3/t11-/m1/s1",VVPRQWTYSNDTEA-LLVKDONJSA-N,VVPRQWTYSNDTEA-LLVKDONJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
3787,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3/t11-/m1/s1",VVPRQWTYSNDTEA-LLVKDONJSA-N,VVPRQWTYSNDTEA-LLVKDONJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
3788,"InChI=1S/C12H26N4O3/c13-7-3-1-5-9(15)11(17)16-10(12(18)19)6-2-4-8-14/h9-10H,1-8,13-15H2,(H,16,17)(H,18,19)/t9-,10-/m0/s1",NVGBPTNZLWRQSY-UWVGGRQHSA-N,NVGBPTNZLWRQSY-UWVGGRQHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,NA,NA,NA,NA
3794,"InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-10(16)7(12)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)/t7-,8-/m0/s1",YBAFDPFAUTYYRW-YUMQZZPRSA-N,YBAFDPFAUTYYRW-YUMQZZPRSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3795,"InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-10(16)7(12)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)/t7-,8-/m0/s1",YBAFDPFAUTYYRW-YUMQZZPRSA-N,YBAFDPFAUTYYRW-YUMQZZPRSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3900,"InChI=1S/C14H19N3O4/c15-10(8-9-4-2-1-3-5-9)13(19)17-11(14(20)21)6-7-12(16)18/h1-5,10-11H,6-8,15H2,(H2,16,18)(H,17,19)(H,20,21)/t10-,11-/m0/s1",KLAONOISLHWJEE-QWRGUYRKSA-N,KLAONOISLHWJEE-QWRGUYRKSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3901,"InChI=1S/C14H19N3O4/c15-10(6-7-12(16)18)13(19)17-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H2,16,18)(H,17,19)(H,20,21)/t10-,11-/m0/s1",VHLZDSUANXBJHW-QWRGUYRKSA-N,VHLZDSUANXBJHW-QWRGUYRKSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3902,"InChI=1S/C15H23N3O3/c16-9-5-4-8-12(17)14(19)18-13(15(20)21)10-11-6-2-1-3-7-11/h1-3,6-7,12-13H,4-5,8-10,16-17H2,(H,18,19)(H,20,21)/t12-,13-/m0/s1",QCZYYEFXOBKCNQ-STQMWFEESA-N,QCZYYEFXOBKCNQ-STQMWFEESA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
3931,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3",KBUNOSOGGAARKZ-UHFFFAOYSA-N,KBUNOSOGGAARKZ-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,Beta-hydroxy ketones,NA,NA,NA
3943,"InChI=1S/C18H36O4/c1-16(2)12-10-8-6-4-3-5-7-9-11-13-18(21)22-15-17(20)14-19/h16-17,19-20H,3-15H2,1-2H3",CALSYPDGGJMMDZ-UHFFFAOYSA-N,CALSYPDGGJMMDZ-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoacylglycerols,1-monoacylglycerols,NA,NA,NA
3944,"InChI=1S/C18H36O4/c1-16(2)12-10-8-6-4-3-5-7-9-11-13-18(21)22-15-17(20)14-19/h16-17,19-20H,3-15H2,1-2H3",CALSYPDGGJMMDZ-UHFFFAOYSA-N,CALSYPDGGJMMDZ-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoacylglycerols,1-monoacylglycerols,NA,NA,NA
3952,"InChI=1S/C19H28O3/c1-18-7-5-12(20)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(21)17(19)22/h3,12-16,20-21H,4-10H2,1-2H3/t12-,13+,14-,15-,16+,18-,19-/m0/s1",QQIVKFZWLZJXJT-DNKQKWOHSA-N,QQIVKFZWLZJXJT-DNKQKWOHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,NA,NA,NA,NA
3953,"InChI=1S/C19H28O3/c1-18-7-5-12(20)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(21)17(19)22/h3,12-16,20-21H,4-10H2,1-2H3/t12-,13+,14-,15-,16+,18-,19-/m0/s1",QQIVKFZWLZJXJT-DNKQKWOHSA-N,QQIVKFZWLZJXJT-DNKQKWOHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,NA,NA,NA,NA
3954,"InChI=1S/C19H28O3/c1-18-7-5-12(20)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(21)17(19)22/h3,12-16,20-21H,4-10H2,1-2H3/t12-,13+,14-,15-,16+,18-,19-/m0/s1",QQIVKFZWLZJXJT-DNKQKWOHSA-N,QQIVKFZWLZJXJT-DNKQKWOHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,NA,NA,NA,NA
3976,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N,QQHJDPROMQRDLA-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3977,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N,QQHJDPROMQRDLA-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
3988,"InChI=1S/C15H23NO6/c1-10(4-3-5-11(2)14(19)20)8-9-16-12(15(21)22)6-7-13(17)18/h5,8,12,16H,3-4,6-7,9H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/p+1/b10-8+,11-5+/t12-/m0/s1",GLOMHRXTBJVWKY-UIZYFNENSA-O,GLOMHRXTBJVWKY-UIZYFNENSA-O,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,"InChI=1S/C15H23N5O3/c16-11(7-4-8-19-15(17)18)13(21)20-12(14(22)23)9-10-5-2-1-3-6-10/h1-3,5-6,11-12H,4,7-9,16H2,(H,20,21)(H,22,23)(H4,17,18,19)/t11-,12-/m0/s1",PQBHGSGQZSOLIR-RYUDHWBXSA-N,PQBHGSGQZSOLIR-RYUDHWBXSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
4071,"InChI=1S/C21H28O4/c1-4-5-6-7-13-10-17(22)19-15-12-14(20(23)24)8-9-16(15)21(2,3)25-18(19)11-13/h10-12,15-16,22H,4-9H2,1-3H3,(H,23,24)",YOVRGSHRZRJTLZ-UHFFFAOYSA-N,YOVRGSHRZRJTLZ-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,"2,2-dimethyl-1-benzopyrans",NA,NA,NA,NA
4075,"InChI=1S/C15H23N5O4/c16-11(8-9-3-5-10(21)6-4-9)13(22)20-12(14(23)24)2-1-7-19-15(17)18/h3-6,11-12,21H,1-2,7-8,16H2,(H,20,22)(H,23,24)(H4,17,18,19)/t11-,12-/m0/s1",JXNRXNCCROJZFB-RYUDHWBXSA-N,JXNRXNCCROJZFB-RYUDHWBXSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,NA,NA,NA,NA
4203,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1",PSHXNVGSVNEJBD-LJQANCHMSA-N,PSHXNVGSVNEJBD-LJQANCHMSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
4368,"InChI=1/C20H42NO7P/c1-5-6-7-8-9-10-11-12-13-14-20(23)26-17-19(22)18-28-29(24,25)27-16-15-21(2,3)4/h19,22H,5-18H2,1-4H3/t19-/m1/s1",BWKILASWCLJPBO-LJQANCHMNA-N,BWKILASWCLJPBO-LJQANCHMNA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4449,"InChI=1S/C23H48NO5PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(25)31-22-21-29-30(26,27)28-20-19-24(2,3)4/h5-22H2,1-4H3",BDPQVGIMLZYZQA-UHFFFAOYSA-N,BDPQVGIMLZYZQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,Phosphocholines,NA,NA,NA
4450,"InChI=1S/C23H48NO5PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(25)31-22-21-29-30(26,27)28-20-19-24(2,3)4/h5-22H2,1-4H3",BDPQVGIMLZYZQA-UHFFFAOYSA-N,BDPQVGIMLZYZQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,Phosphocholines,NA,NA,NA
4471,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1",YVYMBNSKXOXSKW-HXUWFJFHSA-N,YVYMBNSKXOXSKW-HXUWFJFHSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Lysophosphatidylethanolamines,1-acyl-sn-glycero-3-phosphoethanolamines,NA,NA,NA
4476,"InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)",VJQANBSDAGCDJE-UHFFFAOYSA-N,VJQANBSDAGCDJE-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
4477,"InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)",VJQANBSDAGCDJE-UHFFFAOYSA-N,VJQANBSDAGCDJE-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
